,Closest Match,Medicine Name,Active Ingredients,Product Number,List of Excipients,Dosage Form,Formulated compound SMILES,Parent compound SMILES,Parent ChEMBL ID
163,RALOXIFENE HYDROCHLORIDE,Evista,['RALOXIFENE HYDROCHLORIDE'],EMEA/H/C/000184,"['TITANIUM DIOXIDE', 'POLYSORBATE', 'LACTOSE MONOHYDRATE', 'LACTOSE', 'MAGNESIUM STEARATE', 'HYPROMELLOSE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'CROSPOVIDONE']",Tablet,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL81
164,CARIPRAZINE HYDROCHLORIDE,Reagila,['CARIPRAZINE HYDROCHLORIDE'],EMEA/H/C/002770,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'GELATIN', 'SHELLAC', 'BRILLIANT BLUE', 'MAGNESIUM STEARATE', 'PRINTING INK', 'ALLURA RED', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'POTASSIUM HYDROXIDE']",Hard Capsule,ClC1=C(N2CCN(CC[C@H]3CC[C@H](NC(N(C)C)=O)CC3)CC2)C=CC=C1Cl.Cl,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,CHEMBL2028019
165,AMIFAMPRIDINE PHOSPHATE,Firdapse (previously Zenas),['AMIFAMPRIDINE'],EMEA/H/C/001032,"['CALCIUM STEARATE', 'SILICON DIOXIDE, ANHYDROUS', 'MICROCRYSTALLINE CELLULOSE']",Tablet,C1=CN=CC(=C1N)N.OP(=O)(O)O,Nc1ccncc1N,CHEMBL354077
166,POSACONAZOLE,Posaconazole AHCL,['POSACONAZOLE'],EMEA/H/C/005028,"['MACROGOLGLYCEROL HYDROXYSTEARATE', 'PROPYLENE GLYCOL', 'SILICA GEL', 'POLYETHYLENE GLYCOL STEARATE', 'POLYDIMETHYLSILOXANE', 'TITANIUM DIOXIDE', 'XANTHAN GUM', 'SORBIC ACID', 'WATER', 'POLYETHYLENE GLYCOL SORBITAN TRISTEARATE', 'FLAVOUR', 'SODIUM CITRATE DIHYDRATE', 'METHYLCELLULOSE', 'GLUCOSE', 'GLYCEROL', 'SULFURIC ACID', 'SIMETHICONE', 'BENZOIC ACID', 'SODIUM BENZOATE', 'CITRIC ACID']",Suspension,CC[C@@H]([C@H](C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5C[C@](OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,CHEMBL1397
167,AMIFAMPRIDINE PHOSPHATE,Amifampridine SERB,['AMIFAMPRIDINE PHOSPHATE'],EMEA/H/C/005839,"['CALCIUM STEARATE', 'SILICON DIOXIDE, ANHYDROUS', 'MICROCRYSTALLINE CELLULOSE']",Tablet,C1=CN=CC(=C1N)N.OP(=O)(O)O,Nc1ccncc1N,CHEMBL354077
168,ALISKIREN HEMIFUMARATE,Rasilez HCT,"['ALISKIREN', 'HYDROCHLOROTHIAZIDE']",EMEA/H/C/000964,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'STARCH', 'POVIDONE', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.C(=C/C(=O)O)\C(=O)O,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,CHEMBL1639
169,HYDROCHLOROTHIAZIDE,Rasilez HCT,"['ALISKIREN', 'HYDROCHLOROTHIAZIDE']",EMEA/H/C/000964,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'STARCH', 'POVIDONE', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,CHEMBL435
170,APIXABAN,Apixaban Accord,['APIXABAN'],EMEA/H/C/005358,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'LACTOSE', 'MAGNESIUM STEARATE', 'HYPROMELLOSE', 'GLYCEROL TRIACETATE', 'IRON OXIDE', 'SODIUM LAURIL SULFATE', 'CROSCARMELLOSE SODIUM']",Tablet,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,CHEMBL231779
171,NALMEFENE HYDROCHLORIDE DIHYDRATE,Selincro,['NALMEFENE HYDROCHLORIDE DIHYDRATE'],EMEA/H/C/002583,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE', 'MAGNESIUM STEARATE', 'HYPROMELLOSE', 'POLYETHYLENE GLYCOL', 'CROSPOVIDONE']",Tablet,C=C1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC6CC6)O.O.O.Cl,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,CHEMBL982
172,LEFLUNOMIDE,Leflunomide Zentiva (previously Leflunomide Winthrop),['LEFLUNOMIDE'],EMEA/H/C/001129,"['TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'TALC', 'SILICON DIOXIDE, ANHYDROUS', 'MAIZE STARCH', 'CROSPOVIDONE']",Tablet,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,CHEMBL960
173,LEFLUNOMIDE,Leflunomide ratiopharm,['LEFLUNOMIDE'],EMEA/H/C/002035,"['TITANIUM DIOXIDE', 'XANTHAN GUM', 'LACTOSE MONOHYDRATE', 'LECITHIN', 'MAGNESIUM STEARATE', 'LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE', 'POLYVINYL ALCOHOL', 'TARTARIC ACID', 'SODIUM LAURIL SULFATE', 'TALC']",Tablet,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,CHEMBL960
174,OPICAPONE,Ongentys,['OPICAPONE'],EMEA/H/C/002790,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'GELATIN', 'SIMETHICONE', 'LACTOSE MONOHYDRATE', 'SHELLAC', 'MAGNESIUM STEARATE', 'ERYTHROSINE', 'PRINTING INK', 'AMMONIA', 'SODIUM STARCH GLYCOLATE', 'PROPYLENE GLYCOL', 'INDIGO CARMINE']",Hard Capsule,CC1=C(C(=[N+](C(=C1Cl)C)[O-])Cl)C2=NOC(=N2)C3=CC(=C(C(=C3)O)O)[N+](=O)[O-],Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,CHEMBL1089318
175,FAMPRIDINE,Fampridine Accord,['FAMPRIDINE'],EMEA/H/C/005359,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'SILICON DIOXIDE, ANHYDROUS']",Prolonged-Release Tablet,C1=CN=CC=C1N,Nc1ccncc1,CHEMBL284348
176,FAMPRIDINE,Fampyra,['FAMPRIDINE'],EMEA/H/C/002097,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'SILICON DIOXIDE, ANHYDROUS']",Prolonged-Release Tablet,C1=CN=CC=C1N,Nc1ccncc1,CHEMBL284348
177,PREGABALIN,Pregabalin Mylan Pharma,['PREGABALIN'],EMEA/H/C/003962,"['MAIZE STARCH', 'TITANIUM DIOXIDE', 'GELATIN', 'WATER', 'SHELLAC', 'ERYTHROSINE', 'PRINTING INK', 'AMMONIA', 'HYDROXYPROPYLCELLULOSE', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'SODIUM LAURIL SULFATE', 'TALC', 'POTASSIUM HYDROXIDE']",Hard Capsule,CC(C)C[C@@H](CC(=O)O)CN,CC(C)C[C@H](CN)CC(=O)O,CHEMBL1059
178,MEMANTINE HYDROCHLORIDE,Memantine Merz,['MEMANTINE HYDROCHLORIDE'],EMEA/H/C/002711,"['POTASSIUM SORBATE', 'WATER', 'SORBITOL']",Solution,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,CC12CC3CC(C)(C1)CC(N)(C3)C2,CHEMBL807
179,MEMANTINE HYDROCHLORIDE,Memantine Merz,['MEMANTINE HYDROCHLORIDE'],EMEA/H/C/002711,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'CROSCARMELLOSE SODIUM']",Tablet,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,CC12CC3CC(C)(C1)CC(N)(C3)C2,CHEMBL807
180,PITOLISANT HYDROCHLORIDE,Wakix,['PITOLISANT'],EMEA/H/C/002616,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl.Cl,Clc1ccc(CCCOCCCN2CCCCC2)cc1,CHEMBL462605
181,ARIPIPRAZOLE,Abilify,['ARIPIPRAZOLE'],EMEA/H/C/000471,"['MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'HYDROXYPROPYLCELLULOSE', 'IRON OXIDE', 'MAIZE STARCH']",Tablet,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,CHEMBL1112
182,ARIPIPRAZOLE,Abilify,['ARIPIPRAZOLE'],EMEA/H/C/000471,"['XYLITOL', 'MICROCRYSTALLINE CELLULOSE', 'ASPARTAME', 'MAGNESIUM STEARATE', 'FLAVOUR', 'TARTARIC ACID', 'ACESULFAME POTASSIUM', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'CALCIUM SILICATE', 'ETHYL VANILLIN', 'CROSCARMELLOSE SODIUM', 'CROSPOVIDONE']",Orodispersible Tablet,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,CHEMBL1112
183,ARIPIPRAZOLE,Abilify,['ARIPIPRAZOLE'],EMEA/H/C/000471,"['PROPYL PARAHYDROXYBENZOATE', 'SODIUM HYDROXIDE', 'METHYLPARAHYDROXYBENZOATE', 'LACTIC ACID', 'WATER', 'SUCROSE', 'FLAVOUR', 'PROPYLENE GLYCOL', 'FRUCTOSE', 'GLYCEROL', 'DISODIUM EDETATE']",Solution,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,CHEMBL1112
184,BEMPEDOIC ACID,Nilemdo,['BEMPEDOIC ACID'],EMEA/H/C/004958,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'POLYVINYL ALCOHOL PART. HYDROLISED', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'HYDROXYPROPYLCELLULOSE', 'SODIUM STARCH GLYCOLATE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC']",Tablet,CC(C)(CCCCCC(CCCCCC(C)(C)C(=O)O)O)C(=O)O,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,CHEMBL3545313
185,SILODOSIN,Urorec,['SILODOSIN'],EMEA/H/C/001092,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'MANNITOL', 'GELATIN', 'MAGNESIUM STEARATE', 'STARCH', 'IRON OXIDE', 'SODIUM LAURIL SULFATE']",Hard Capsule,C[C@H](CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,CHEMBL24778
186,TEGAFUR,Teysuno,"['TEGAFUR', 'GIMERACIL', 'OTERACIL']",EMEA/H/C/001242,"['TITANIUM DIOXIDE', 'GELATIN', 'LACTOSE MONOHYDRATE', 'SHELLAC', 'GLYCEROL MONOOLEATE', 'MAGNESIUM STEARATE', 'PRINTING INK', 'IRON OXIDE', 'CARNAUBA WAX', 'SODIUM LAURIL SULFATE', 'INDIGO CARMINE', 'TALC']",Hard Capsule,C1CC(OC1)N2C=C(C(=O)NC2=O)F,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CHEMBL20883
187,GIMERACIL,Teysuno,"['TEGAFUR', 'GIMERACIL', 'OTERACIL']",EMEA/H/C/001242,"['TITANIUM DIOXIDE', 'GELATIN', 'LACTOSE MONOHYDRATE', 'SHELLAC', 'GLYCEROL MONOOLEATE', 'MAGNESIUM STEARATE', 'PRINTING INK', 'IRON OXIDE', 'CARNAUBA WAX', 'SODIUM LAURIL SULFATE', 'INDIGO CARMINE', 'TALC']",Hard Capsule,C1=C(NC=C(C1=O)Cl)O,O=c1cc(O)[nH]cc1Cl,CHEMBL1730601
188,OTERACIL MONOPOTASSIUM,Teysuno,"['TEGAFUR', 'GIMERACIL', 'OTERACIL']",EMEA/H/C/001242,"['TITANIUM DIOXIDE', 'GELATIN', 'LACTOSE MONOHYDRATE', 'SHELLAC', 'GLYCEROL MONOOLEATE', 'MAGNESIUM STEARATE', 'PRINTING INK', 'IRON OXIDE', 'CARNAUBA WAX', 'SODIUM LAURIL SULFATE', 'INDIGO CARMINE', 'TALC']",Hard Capsule,C1(=NC(=O)NC(=O)N1)C(=O)[O-].[K+],O=C(O)c1nc(=O)[nH]c(=O)[nH]1,CHEMBL181932
189,TEMOZOLOMIDE,Temomedac,['TEMOZOLOMIDE'],EMEA/H/C/001124,"['TITANIUM DIOXIDE', 'GELATIN', 'SHELLAC', 'LACTOSE', 'STEARIC ACID', 'SODIUM STARCH GLYCOLATE', 'TARTARIC ACID', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'SILICON DIOXIDE, ANHYDROUS']",Hard Capsule,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,Cn1nnc2c(C(N)=O)ncn2c1=O,CHEMBL810
190,AZILSARTAN MEDOXOMIL POTASSIUM,Edarbi,['AZILSARTAN MEDOXOMIL'],EMEA/H/C/002293,"['MANNITOL', 'MICROCRYSTALLINE CELLULOSE', 'SODIUM HYDROXIDE', 'MAGNESIUM STEARATE', 'HYDROXYPROPYLCELLULOSE', 'FUMARIC ACID', 'CROSCARMELLOSE SODIUM']",Tablet,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NOC(=N5)[O-])C(=O)OCC6=C(OC(=O)O6)C.[K+],CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(O)n2)cc1,CHEMBL2028661
191,LURASIDONE HYDROCHLORIDE,Latuda,['LURASIDONE'],EMEA/H/C/002713,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'MANNITOL', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'CARNAUBA WAX', 'INDIGO CARMINE', 'CROSCARMELLOSE SODIUM']",Tablet,C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O.Cl,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,CHEMBL1237021
192,TEMOZOLOMIDE,Temozolomide Sun,['TEMOZOLOMIDE'],EMEA/H/C/002198,"['TITANIUM DIOXIDE', 'GELATIN', 'SHELLAC', 'LACTOSE', 'STEARIC ACID', 'PRINTING INK', 'SODIUM STARCH GLYCOLATE', 'TARTARIC ACID', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'SODIUM LAURIL SULFATE']",Hard Capsule,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,Cn1nnc2c(C(N)=O)ncn2c1=O,CHEMBL810
193,ESLICARBAZEPINE ACETATE,Zebinix,['ESLICARBAZEPINE ACETATE'],EMEA/H/C/000988,"['MAGNESIUM STEARATE', 'CROSCARMELLOSE SODIUM', 'POVIDONE']",Tablet,CC(=O)O[C@H]1CC2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,CHEMBL87992
194,ESLICARBAZEPINE ACETATE,Zebinix,['ESLICARBAZEPINE ACETATE'],EMEA/H/C/000988,"['XANTHAN GUM', 'METHYLPARAHYDROXYBENZOATE', 'WATER', 'POLYETHYLENE GLYCOL', 'FLAVOUR', 'SODIUM SACCHARIN', 'PROPYLENE GLYCOL', 'ACACIA']",Suspension,CC(=O)O[C@H]1CC2=CC=CC=C2N(C3=CC=CC=C13)C(=O)N,CC(=O)O[C@H]1Cc2ccccc2N(C(N)=O)c2ccccc21,CHEMBL87992
195,AZATHIOPRINE,Jayempi,['AZATHIOPRINE'],EMEA/H/C/005055,"['MICROCRYSTALLINE CELLULOSE', 'XANTHAN GUM', 'SUCRALOSE', 'WATER', 'FLAVOUR', 'SODIUM BENZOATE', 'CITRIC ACID', 'CARMELLOSE SODIUM']",Suspension,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,CHEMBL1542
196,MIGLUSTAT,Zavesca,['MIGLUSTAT'],EMEA/H/C/000435,"['TITANIUM DIOXIDE', 'GELATIN', 'SHELLAC', 'MAGNESIUM STEARATE', 'PRINTING INK', 'POVIDONE', 'SODIUM STARCH GLYCOLATE', 'IRON OXIDE']",Hard Capsule,CCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CHEMBL1029
197,IVABRADINE HYDROCHLORIDE,Ivabradine Accord,['IVABRADINE HYDROCHLORIDE'],EMEA/H/C/004241,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'LACTOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, HYDRATED']",Tablet,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)C[C@H]3CC4=CC(=C(C=C34)OC)OC.Cl,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,CHEMBL471737
198,VARDENAFIL HYDROCHLORIDE,Vivanza,['VARDENAFIL'],EMEA/H/C/000488,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'CROSPOVIDONE']",Tablet,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.Cl,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,CHEMBL1520
199,VARDENAFIL HYDROCHLORIDE,Vivanza,['VARDENAFIL'],EMEA/H/C/000488,"['MANNITOL', 'PEPPERMINT FLAVOUR', 'ASPARTAME', 'MAGNESIUM STEARATE', 'SORBITOL', 'SILICON DIOXIDE, HYDRATED', 'CROSPOVIDONE']",Orodispersible Tablet,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.Cl,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,CHEMBL1520
200,CERITINIB,Zykadia,['CERITINIB'],EMEA/H/C/003819,"['TITANIUM DIOXIDE', 'GELATIN', 'MICROCRYSTALLINE CELLULOSE', 'SHELLAC', 'MAGNESIUM STEARATE', 'PRINTING INK', 'LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE', 'SODIUM STARCH GLYCOLATE', 'AMMONIUM HYDROXIDE', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'SILICON DIOXIDE, ANHYDROUS', 'INDIGO CARMINE']",Hard Capsule,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,CHEMBL2403108
201,CERITINIB,Zykadia,['CERITINIB'],EMEA/H/C/003819,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'TALC', 'HYDROXYPROPYLCELLULOSE', 'SILICON DIOXIDE, ANHYDROUS', 'INDIGO CARMINE', 'CROSCARMELLOSE SODIUM']",Tablet,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,CHEMBL2403108
202,SOTORASIB,Lumykras,['SOTORASIB'],EMEA/H/C/005522,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'CROSCARMELLOSE SODIUM']",Tablet,C[C@H]1CN(CCN1C2=NC(=O)N(C3=NC(=C(C=C32)F)C4=C(C=CC=C4F)O)C5=C(C=CN=C5C(C)C)C)C(=O)C=C,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,CHEMBL4535757
203,TEMOZOLOMIDE,Temozolomide Teva,['TEMOZOLOMIDE'],EMEA/H/C/001126,"['TITANIUM DIOXIDE', 'GELATIN', 'SHELLAC', 'LACTOSE', 'STEARIC ACID', 'PRINTING INK', 'SODIUM STARCH GLYCOLATE', 'AMMONIUM HYDROXIDE', 'TARTARIC ACID', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'SILICON DIOXIDE, ANHYDROUS']",Hard Capsule,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,Cn1nnc2c(C(N)=O)ncn2c1=O,CHEMBL810
204,OLANZAPINE,Zyprexa Velotab,['OLANZAPINE'],EMEA/H/C/000287,"['MANNITOL', 'GELATIN', 'ASPARTAME', 'SODIUM PROPYL PARAHYDROXYBENZOATE (E217)', 'SODIUM METHYL PARAHYDROXYBENZOATE (E219)']",Orodispersible Tablet,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CHEMBL715
205,ENTECAVIR MONOHYDRATE,Baraclude,['ENTECAVIR'],EMEA/H/C/000623,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'IRON OXIDE', 'CROSPOVIDONE']",Tablet,C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2NC(=NC3=O)N.O,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)nc(N)[nH]c21,CHEMBL713
206,ENTECAVIR MONOHYDRATE,Baraclude,['ENTECAVIR'],EMEA/H/C/000623,"['PROPYL PARAHYDROXYBENZOATE', 'SODIUM HYDROXIDE', 'METHYLPARAHYDROXYBENZOATE', 'WATER', 'MALTITOL', 'FLAVOUR', 'HYDROCHLORIC ACID', 'SODIUM CITRATE', 'CITRIC ACID']",Solution,C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2NC(=NC3=O)N.O,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)nc(N)[nH]c21,CHEMBL713
207,IMATINIB MESILATE,Glivec,['IMATINIB'],EMEA/H/C/000406,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL941
